Endpoint                                    Methods    Rule                                                                                   
------------------------------------------  ---------  ---------------------------------------------------------------------------------------
api_database.execute_query                  GET        /sys/execute_query                                                                     
api_database.get_first_config               GET        /sys/first_config                                                                      
datasource_api.create_datasource            POST       /api/datasource/                                                                       
datasource_api.delete_datasource            DELETE     /api/datasource/<string:idDataSource>                                                  
datasource_api.get_datasource               GET        /api/datasource/<string:idDataSource>                                                  
datasource_api.get_datasource_list          GET        /api/datasource/                                                                       
datasource_api.update_datasource            PUT        /api/datasource/<string:idDataSource>                                                  
datasource_api.update_password              PUT        /api/datasource/update-password/<string:idDataSource>                                  
generate_code.generate_source_code          POST       /generate-code/                                                                        
generate_code.get_table_fields              GET        /generate-code/fields/<table_name>                                                     
processo_api.create_processo                POST       /api/processo/                                                                         
processo_api.delete_processo                DELETE     /api/processo/<string:idProjeto>/<string:ordem>                                        
processo_api.get_processo                   GET        /api/processo/<string:idProjeto>/<string:ordem>                                        
processo_api.get_processo_list              GET        /api/processo/<string:idProjeto>                                                       
processo_api.update_processo                PUT        /api/processo/<string:idProjeto>/<string:ordem>                                        
projeto_api.create_projeto                  POST       /api/projeto/                                                                          
projeto_api.delete_projeto                  DELETE     /api/projeto/<string:idProjeto>                                                        
projeto_api.get_projeto                     GET        /api/projeto/<string:idProjeto>                                                        
projeto_api.get_projeto_list                GET        /api/projeto/                                                                          
projeto_api.update_projeto                  PUT        /api/projeto/<string:idProjeto>                                                        
routes.about                                GET        /about                                                                                 
routes.call_Datasource                      GET        /datasource                                                                            
routes.call_Processo                        GET        /processo                                                                              
routes.call_Script                          GET        /script/<string:idProjeto>/<string:ordem>                                              
routes.call_Suppdataconfig                  GET        /suppdataconfig                                                                        
routes.call_Suppdatadet                     GET        /suppdatadet/<string:codSupData>/<string:idProjeto>                                    
routes.call_Suppdatadet                     GET        /suppdatadet/<string:codSupData>                                                       
routes.call_projeto                         GET        /projeto                                                                               
routes.generatecode                         GET        /generate-code                                                                         
routes.index                                GET        /                                                                                      
routes.login                                GET, POST  /login                                                                                 
routes.logout                               GET        /logout                                                                                
routes.users                                GET        /users                                                                                 
script_api.create_script                    POST       /api/script/                                                                           
script_api.delete_script                    DELETE     /api/script/<string:idProjeto>/<string:ordem>/<string:seq>                             
script_api.get_script                       GET        /api/script/<string:idProjeto>/<string:ordem>/<string:seq>                             
script_api.get_script_list                  GET        /api/script/                                                                           
script_api.update_script                    PUT        /api/script/<string:idProjeto>/<string:ordem>/<string:seq>                             
script_api.validate_sql                     PUT        /api/script/validateSQL/                                                               
static                                      GET        /static/<path:filename>                                                                
suppdataconfig_api.create_suppdataconfig    POST       /api/suppdataconfig/                                                                   
suppdataconfig_api.delete_suppdataconfig    DELETE     /api/suppdataconfig/<string:codSupData>                                                
suppdataconfig_api.get_suppdataconfig       GET        /api/suppdataconfig/<string:codSupData>                                                
suppdataconfig_api.get_suppdataconfig_list  GET        /api/suppdataconfig/                                                                   
suppdataconfig_api.update_suppdataconfig    PUT        /api/suppdataconfig/<string:codSupData>                                                
suppdatadet_api.create_suppdatadet          POST       /api/suppdatadet/                                                                      
suppdatadet_api.delete_suppdatadet          DELETE     /api/suppdatadet/<string:IdProjeto>                                                    
suppdatadet_api.get_suppdatadet             GET        /api/suppdatadet/<string:IdProjeto>/<string:codSupData>/<string:Chave1>/<string:Chave2>
suppdatadet_api.get_suppdatadet             GET        /api/suppdatadet/<string:IdProjeto>/<string:codSupData>/<string:Chave1>/               
suppdatadet_api.get_suppdatadet_list        GET        /api/suppdatadet/<string:IdProjeto>/<string:codSupData>                                
suppdatadet_api.update_suppdatadet          PUT        /api/suppdatadet/<string:IdProjeto>/<string:codSupData>/<string:Chave1>/<string:Chave2>
suppdatadet_api.update_suppdatadet          PUT        /api/suppdatadet/<string:IdProjeto>/<string:codSupData>/<string:Chave1>/               
usuario_api.create_usuario                  POST       /api/usuarios/                                                                         
usuario_api.delete_usuario                  DELETE     /api/usuarios/<string:username>                                                        
usuario_api.get_usuario                     GET        /api/usuarios/<string:username>                                                        
usuario_api.get_usuarios                    GET        /api/usuarios/                                                                         
usuario_api.update_usuario                  PUT        /api/usuarios/<string:username>                                                        
